dataset_id,role,file_name_nfc,size_bytes,sha256,sheets_and_dimensions,logical_data_rows,logical_columns
PRBD01N001,datarows,PRBD01N001_국내채권마스터_20260711_datarows.xlsx,6836772,728f44a567a986d21cf843d711c6c4dfa1a24d05b39c7da0541b981b57ecccf8,datarows:42395x40,42394,40
PRBD01N001,schema,PRBD01N001_국내채권마스터_schema.xlsx,18021,f0647ce274f94e0474960b98832b98d87838d812b4772f15bdeda2dceff3676b,Sheet1_Schema:42x5;Sheet2_Sample:103x20,,40
PREF01N001,datarows,PREF01N001_국내ETF마스터_20260711_datarows.xlsx,706081,0f5706d45f93284bcaac2fa8eaed04db920a7043abaa859e455f06e246d54723,datarows:1735x73,1734,73
PREF01N001,schema,PREF01N001_국내ETF마스터_schema.xlsx,18970,17ae6befa4f0f5b60481882ff24de1f7729386cef9d9b56f32187e41f1cb00e6,Sheet1_Schema:75x5;Sheet2_Sample:103x13,,73
PREF02N001,datarows,PREF02N001_해외ETF마스터_20260711_datarows.xlsx,2114967,3cec19043f742771e0016d56fe806f19ad78f4295d1ae59192740a78feb2253b,datarows:5647x49,5646,49
PREF02N001,schema,PREF02N001_해외ETF마스터_schema.xlsx,40216,c6a022dd8a349363c405e7bf47b44f8cc099a92bfafb276b985a5c89d1881162,Sheet1_Schema:51x5;Sheet2_Sample:103x49,,49
PRFD01N001,datarows,PRFD01N001_공모펀드마스터_20260711_datarows.xlsx,30709892,140d1ef0cec918d0b3f7c52c107cb123395594eb089b0cd70bb305709b0f44eb,datarows:95620x45,95619,45
PRFD01N001,schema,PRFD01N001_공모펀드마스터_schema.xlsx,15596,eedb7e517312234b2825a6752adb2b5f11053f0f4fb93b70e83e87b56ee134e9,Sheet1_Schema:47x5;Sheet2_Sample:103x11,,45
